ProductID,ProductName,Category,Price
1,Widget A,Gadgets,19.99
2,Widget B,Gadgets,29.99
3,Gadget Pro,Gadgets,49.99
4,Super Widget,Gadgets,39.99
5,Mega Gadget,Gadgets,59.99
6,Ultra Widget,Gadgets,69.99
7,Widget X,Gadgets,79.99
8,Gadget X Pro,Gadgets,89.99
9,Widget Y,Gadgets,99.99
10,Gadget Y Pro,Gadgets,109.99
11,Widget Z,Gadgets,119.99
12,Gadget Z Pro,Gadgets,129.99
13,Widget Alpha,Gadgets,139.99
14,Gadget Alpha Pro,Gadgets,149.99
15,Widget Beta,Gadgets,159.99
16,Gadget Beta Pro,Gadgets,169.99
17,Widget Gamma,Gadgets,179.99
18,Gadget Gamma Pro,Gadgets,189.99
19,Widget Delta,Gadgets,199.99
20,Gadget Delta Pro,Gadgets,209.99
21,Widget Epsilon,Gadgets,219.99
22,Gadget Epsilon Pro,Gadgets,229.99
23,Widget Zeta,Gadgets,239.99
24,Gadget Zeta Pro,Gadgets,249.99
25,Widget Eta,Gadgets,259.99
26,Gadget Eta Pro,Gadgets,269.99
27,Widget Theta,Gadgets,279.99
28,Gadget Theta Pro,Gadgets,289.99
29,Widget Iota,Gadgets,299.99
30,Gadget Iota Pro,Gadgets,309.99
31,Widget Kappa,Gadgets,319.99
32,Gadget Kappa Pro,Gadgets,329.99
33,Widget Lambda,Gadgets,339.99
34,Gadget Lambda Pro,Gadgets,349.99
35,Widget Mu,Gadgets,359.99
36,Gadget Mu Pro,Gadgets,369.99
37,Widget Nu,Gadgets,379.99
38,Gadget Nu Pro,Gadgets,389.99
39,Widget Xi,Gadgets,399.99
40,Gadget Xi Pro,Gadgets,409.99
41,Widget Omicron,Gadgets,419.99
42,Gadget Omicron Pro,Gadgets,429.99
43,Widget Pi,Gadgets,439.99
44,Gadget Pi Pro,Gadgets,449.99
45,Widget Rho,Gadgets,459.99
46,Gadget Rho Pro,Gadgets,469.99
47,Widget Sigma,Gadgets,479.99
48,Gadget Sigma Pro,Gadgets,489.99
49,Widget Tau,Gadgets,499.99
50,Gadget Tau Pro,Gadgets,509.99
